./bin/ACT1\sub1\bike.bin                ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\bikebd.bin              ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\bikepg.bin              ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\bikerd.bin              ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\bikesy.bin              ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\bird.bin                ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\bird01.bin              ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\blu_hat.bin             ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\board.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\BouyBump.bin            ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\brella.bin              ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\broom.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\btlfjkt.bin             ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\bush.bin                ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\car.bin                 ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\carcomp.bin             ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cart.bin                ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat.bin                 ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat01.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat02.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat03.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat04.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat05.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat06.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat07.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cat08.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\cave.bin                ['_', '_', 'X', 'X', 'X']
./bin/ACT1\sub1\cup.bin                 ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\debrick.bin             ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\dog.bin                 ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\drill.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\dunebugy.bin            ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\fenc.bin                ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\flwrred.bin             ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\flwryel.bin             ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\frisb.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\gas.bin                 ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\gate.bin                ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\gurnsht.bin             ['_', 'X', 'X', 'X', 'X']
./bin/ACT1\sub1\haus1.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\haus2.bin               ['_', '_', '_', '_', '_']
./bin/ACT1\sub1\haus3.bin               ['_', '_', '_', '_', '_']
